iter	Passed	Remaining
408	5465	7897
409	5477	7882
410	5489	7866
411	5501	7851
412	5512	7834
413	5524	7819
414	5536	7804
415	5548	7788
416	5560	7773
417	5572	7758
418	5584	7743
419	5596	7728
420	5608	7713
421	5620	7698
422	5632	7683
423	5647	7672
424	5658	7656
425	5671	7641
426	5683	7626
427	5695	7612
428	5707	7596
429	5718	7580
430	5730	7565
431	5742	7550
432	5754	7535
433	5765	7519
434	5777	7503
435	5789	7489
436	5801	7474
437	5813	7459
438	5826	7445
439	5839	7432
440	5851	7417
441	5863	7402
442	5876	7388
443	5887	7373
444	5899	7358
445	5912	7344
446	5925	7330
447	5938	7317
448	5950	7302
449	5963	7289
450	5975	7274
451	5987	7259
452	6000	7245
453	6012	7230
454	6024	7215
455	6036	7201
456	6048	7186
457	6062	7174
458	6074	7159
459	6086	7144
460	6099	7131
461	6111	7117
462	6123	7102
463	6136	7088
464	6148	7073
465	6160	7059
466	6172	7044
467	6184	7030
468	6196	7015
469	6222	7016
470	6241	7009
471	6259	7002
472	6281	6998
473	6297	6988
474	6321	6986
475	6336	6975
476	6351	6964
477	6364	6949
478	6379	6938
479	6391	6923
480	6403	6909
481	6415	6894
482	6427	6880
483	6440	6866
484	6452	6851
485	6464	6837
486	6476	6822
487	6488	6807
488	6500	6793
489	6512	6778
490	6524	6764
491	6536	6749
492	6548	6734
493	6560	6719
494	6573	6706
495	6585	6691
496	6597	6677
497	6609	6663
498	6622	6648
499	6634	6634
500	6647	6620
501	6664	6611
502	6680	6600
503	6701	6594
504	6720	6587
505	6736	6576
506	6749	6562
507	6762	6549
508	6777	6537
509	6789	6523
510	6802	6509
511	6816	6496
512	6829	6483
513	6842	6469
514	6854	6455
515	6869	6443
516	6882	6429
517	6894	6415
518	6906	6401
519	6918	6386
520	6930	6372
521	6943	6358
522	6955	6343
523	6966	6328
524	6979	6314
525	6991	6300
526	7007	6289
527	7023	6278
528	7040	6268
529	7055	6257
530	7070	6244
531	7083	6231
532	7098	6219
533	7113	6208
534	7127	6194
535	7143	6183
536	7155	6169
537	7170	6157
538	7189	6148
539	7207	6139
540	7222	6128
541	7240	6118
542	7260	6110
543	7277	6099
544	7293	6089
545	7308	6077
546	7322	6064
547	7337	6052
548	7351	6039
549	7365	6026
550	7377	6012
551	7389	5997
552	7401	5983
553	7414	5968
554	7426	5954
555	7437	5939
556	7449	5924
557	7462	5911
558	7475	5897
559	7489	5884
560	7501	5870
561	7513	5855
562	7526	5842
563	7541	5829
564	7552	5814
565	7565	5801
566	7578	5787
567	7590	5772
568	7602	5758
569	7613	5743
570	7626	5729
571	7638	5715
572	7650	5700
573	7662	5686
574	7674	5672
575	7686	5657
576	7698	5643
577	7710	5629
578	7722	5615
579	7734	5601
580	7746	5586
581	7758	5572
582	7770	5558
583	7782	5543
584	7794	5529
585	7805	5514
586	7817	5500
587	7829	5485
588	7840	5471
589	7852	5457
590	7864	5442
591	7875	5428
592	7887	5413
593	7899	5399
594	7911	5385
595	7923	5371
596	7938	5358
597	7951	5345
598	7963	5331
599	7975	5316
600	7987	5302
601	7999	5288
602	8011	5274
603	8024	5261
604	8036	5247
605	8047	5232
606	8059	5218
607	8071	5204
608	8083	5190
609	8095	5175
610	8107	5161
611	8119	5147
612	8131	5133
613	8143	5119
614	8155	5105
615	8167	5091
616	8179	5077
617	8191	5063
618	8203	5049
619	8214	5034
620	8226	5020
621	8239	5007
622	8251	4993
