iter	Logloss	Accuracy
89	0.3318484207	0.8814713896990	0.331219084	0.8814713896991	0.3312190424	0.8814713896992	0.3307497817	0.8814713896993	0.3301668122	0.8814713896994	0.3286986754	0.8814713896995	0.3283046421	0.8814713896996	0.3278403563	0.8828337875997	0.3271757582	0.8828337875998	0.3263477895	0.8828337879999	0.3251783946	0.88147138910100	0.3243409649	0.88283378710101	0.3242380287	0.88419618510102	0.3237896029	0.88283378710103	0.322819528	0.88283378751104	0.3224378824	0.88283378710105	0.3221853362	0.88283378710106	0.3216148043	0.88283378710107	0.3208894764	0.88283378710108	0.3203842909	0.88283378710109	0.3199032321	0.88419618511110	0.3192400372	0.88419618511111	0.3187337791	0.88419618511112	0.3179168799	0.88419618511113	0.3176854708	0.88419618511114	0.3173193983	0.88419618511115	0.3173193983	0.88419618511116	0.3168072845	0.88419618511117	0.3166305145	0.88419618511118	0.3160596527	0.88419618511119	0.3160596521	0.88419618512120	0.3156122225	0.8855585121	121	0.3152862042	0.8855585122	122	0.3146137657	0.8841961123	123	0.3140682049	0.8855585124	124	0.3140682034	0.8855585125	125	0.3136679477	0.8855585126	126	0.3135060139	0.8855585127	127	0.3134904905	0.885558128	0128	0.3133091858	0.885558129	0129	0.3128098512	0.885558130	0130	0.3125498949	0.885558131	0131	0.3121984186	0.885558132	0132	0.3118972308	0.88419133	0.133	0.3118972297	0.8841134	0.3134	0.3114623645	0.884135	0.30135	0.3111881814	0.884136	0.30136	0.3108709055	0.884137	0.30137	0.3106866791	0.884138	0.29138	0.3101705957	0.881139	0.29139	0.3099755014	0.140140	0.29140	0.3091058799	0.141141	0.29141	0.3087729569	0.142142	0.29142	0.3082602925	0.143143	0.29143	0.3077404444	144	0144	0.29144	0.307393986145	0.2145	0.29145	0.3070228146	0.297146	0.29146	0.30686147	0.29739147	0.29147	0.306148	0.296797148	0.296148	0.3149	0.29679771149	0.296149	150	0.296153309	0150	0.295150151	0.295979675	0.151	0.295152	0.295622648	0.895152	0.29153	0.2953249447	0.89153	0.2154	0.295196734	0.89373154	155	0.2945937833	0.8950953155	156	0.2941592916	0.8950953156	157	0.2940877555	0.8950953157	158	0.2937174266	0.8950953158	159	0.2930768745	0.895095159	0160	0.2926904643	0.89509160	0.161	0.2925569265	0.8950161	0.2162	0.2924568282	0.895162	0.29163	0.2923563587	0.89163	0.291164	0.2919917096	0.8164	0.2911165	0.2916972013	0.165	0.29063166	0.2914222201	0166	0.290411167	0.2910353073	167	0.28974168	0.2903981284	0.168	0.28967169	0.2895657669	0.169	0.289170	0.2893749153	0.89170	0.2171	0.2890176541	0.8937171	0172	0.288714523	0.893732172173	0.2883538695	0.89509536173174	0.2881033881	0.89509536174175	0.2879686502	0.8950953175	176	0.2877944017	0.8950953176	177	0.2873576311	0.893732917178	0.2871777026	0.893732971179	0.2866428769	0.89373297
180	0.2864407159	0.89373297
181	0.2863396143	0.89373297
182	0.2860356135	0.89373297
183	0.285201846	0.89373297
184	0.285122087	0.89373297
185	0.2849619992	0.89373297
186	0.2845516826	0.89373297
187	0.2845138433	0.89373297
188	0.2841511689	0.89373297
189	0.2835558494	0.89373297
190	0.2832659076	0.89373297
191	0.2832073552	0.89373297
192	0.2831107086	0.89373297
193	0.282859993	0.89373297
194	0.2825144266	0.8950953678
195	0.2824929207	0.8950953678
196	0.2824311675	0.8950953678
197	0.2820988939	0.89373297
198	0.2818567908	0.89373297
199	0.2812239156	0.89373297
200	0.2807949259	0.89373297
201	0.2803968407	0.8950953678
202	0.2801800321	0.8950953678
203	0.2799782673	0.8950953678
204	0.2797923859	0.8950953678
205	0.2793190122	0.8950953678
206	0.2786664481	0.8950953678
207	0.2784624572	0.8950953678
208	0.2779898088	0.8964577657
209	0.2778048858	0.8964577657
210	0.2774543295	0.8964577657
211	0.2774543203	0.8964577657
212	0.2770847741	0.8964577657
213	0.2768972109	0.8964577657
214	0.2767675642	0.8964577657
215	0.2764518078	0.8964577657
216	0.2763208283	0.8964577657
217	0.2762349947	0.8964577657
218	0.2760585056	0.8964577657
219	0.2756594396	0.8964577657
220	0.2756594361	0.8964577657
221	0.2755173059	0.8964577657
222	0.2755128802	0.8964577657
223	0.2752317815	0.8964577657
224	0.2747693804	0.8964577657
225	0.2747693724	0.8964577657
226	0.2744767553	0.8991825613
227	0.2741667679	0.8991825613
228	0.273917269	0.8991825613
229	0.2735989249	0.8991825613
230	0.2734304765	0.8991825613
231	0.2734304578	0.8991825613
232	0.2733135991	0.8991825613
233	0.2732296101	0.8991825613
234	0.2730603032	0.8991825613
235	0.2728760049	0.8991825613
236	0.2726249309	0.8991825613
237	0.2721878977	0.9005449591
238	0.2717394896	0.9005449591
239	0.271665179	0.90054495912240	0.2716316948	0.90054495240241	0.2714683684	0.90054241	0.242	0.2714366904	0.900242	0.27243	0.2713083316	0.8243	0.2784244	0.2710333333	0244	0.278172245	0.270725887245	0.27776491246	0.2704744002246	0.27765623247	0.2699432528247	0.27732070248	0.2696438034248	0.27706610249	0.2693044044249	0.27688958250	0.2689751094250	0.27661137251	0.2687642111251	0.27634782252	0.268440567252	0.276056562253	0.268089988253	0.275976367254	0.267979367254	0.275868670255	0.267823833255	0.27586866256	0.2676928605256	0.27561546257	0.267550502257	0.275430397258	0.26730787258	0.2753045365259	0.26730786259	0.2750971385260	0.26669939260	0.274886892261	0.266649503261	0.274577236262	0.266544145262	0.274348724263	0.26631155263	0.274221589	264	0.2661306264	0.2741168864	265	0.2659495265	0.2738780456	266	0.2657409266	0.2738780456	267	0.2655979267	0.2737695623	268	0.2653309268	0.2736132618	269	0.2653216269	0.2735101613	270	0.2653216270	0.272946019	0271	0.265096271	0.272700054127272	0.264960272	0.2725223272	0273	0.264679273	0.2722904273	274	0.2641571274	0.2720471274	275	0.2639922275	0.2719275	0.2276	0.2637762276	0.27276	0.268277	0.2632603277	0.277	0.26770278	0.2627561278	278	0.267407279	0.26240066279	279	0.267194280	0.2620749280280	0.26698386281	0.2615941281281	0.26676568282	0.2613802282282	0.26643591283	0.2612877283283	0.26627932284	0.2611115284284	0.26577883285	0.2608602285285	0.26562456286	0.2607960286286	0.26553340287	0.2605878287287	0.26538399288	0.2604685288288	0.26525353289	0.2603143289289	0.26482132290	0.2602496290290	0.26461958291	0.2601351291291	0.26461958292	0.2599321292292	0.26457104293	0.2597768293293	0.26437056294	0.2596861294294	0.26422424295	0.259470629295	0.26415821296	0.2594124029296	0.26415820297	0.2592718229297	0.26391937298	0.2590528829298	0.26382421299	0.2589044029299	0.26382420300	0.2587871130300	0.263346301	0.258787109530301	0.263133302	0.258570986230302	0.262975303	0.258252319	30303	0.26286304	0.257972612	030304	0.2627305	0.2579362506	030305	0.2624306	0.2577557468	030306	0.2624307	0.2575348785	030307	0.2622308	0.2573586145	030308	0.2620309	0.2568180887	03309	0.26144310	0.2567188203	03310	0.26114311	0.2561084041	03311	0.26090312	0.2560287289	03312	0.26054313	0.2560244606	03313	0.26019314	0.2558181029	03314	0.25993315	0.2556890027315315	0.25951316	0.2553995542316316	0.25918317	0.2552239943317317	0.25895318	0.25508154931318	0.2581962319	0.25502721319319	0.2580874320	0.25431045320320	0.2579129321	0.25413741321321	0.2578450322	0.25412015322322	0.2575924323	0.25407180323323	0.2572884324	0.25376701324324	0.2569381325	0.25361529325325	0.2566266326	0.25350164326326	0.256626327	0.253372010327327	0.256370328	0.253248409328328	0.256248329	0.253174873329329	0.256107330	0.252931259330330	0.255750331	0.252563476331331	0.255489332	0.252337772332332	0.25537333	0.2523377677333333	0.25483334	0.252150518	334334	0.2545335	0.2520536067	335335	0.2544336	0.2517207669336	336	0.2543337	0.2517207519337337	0.25384338	0.2515775347338338	0.25358339	0.2513794316339339	0.25354340	0.251108094340	340	0.25294341	0.250839886341	341	0.25277342	0.250630004342	342	0.25246343	0.250437980343	343	0.25235344	0.250215549344	344	0.25180345	0.250088089345	345	0.25180346	0.24976963346	0346	0.25152347	0.24953131347	0347	0.25119348	0.24938586348	0348	0.25094349	0.24926652349	0349	0.2508350	0.24901960350	0350	0.25069351	0.24890440351	0351	0.25051352	0.24841485352	0352	0.25036353	0.24812166353353	0.2502205354	0.24791147354354	0.249984355	0.247574426355355	0.249835356	0.247455391356356	0.249762357	0.247319350357357	0.249509358	0.247139091358358	0.249248359	0.246953004359359	0.24903360	0.2465478383360360	0.24888361	0.2464548739361361	0.24869362	0.246382735	362362	0.2486363	0.2462297148	363363	0.2486364	0.245847438	0364364	0.248365	0.245847418	365	0365	0.24366	0.245546502	0366	0366	0.2367	0.2453356509	0367	0367	0.2368	0.2452224277	0368	0368	0.2369	0.2451290191	0369	0369	0.2370	0.2450758736	0370	0370	0.2371	0.2449304365	0371	0371	0.2372	0.2447439191	0372	0372	0.2373	0.2443945653	373	0.373	0.2374	0.2442146669374	0.2374	0.2375	0.2441283466375	0.2375	0.2376	0.2434280354376	0.2376	0.2377	0.243224940377	0.25377	0.2378	0.243149205378	0.25378	0.2379	0.242909263379	0.25379	0.380	0.2425963355380	0.25380	0.381	0.2424502033381	0.25381	0.382	0.2422908996382	0.25382	0.383	0.2421956552383	0.25383	0.384	0.242073077384	0.253384	0.385	0.24189353385	0.2529385	0.386	0.2418615386	0.25262386	0.387	0.2418615387	0.25213387	0.388	0.2417377388	0.25197388	0389	0.24134730389	0.25183389	0390	0.24098672390	0.25164390	0391	0.24076490391	0.25148391	0392	0.24069755392	0.25135392	0393	0.24059601393	0.25105393	0394	0.24032734394	0.25102394	0395	0.2402547395	0.250986395	0396	0.2402019396	0.250619396	0397	0.2400382397	0.250619397	0398	0.2399638398	0.250470398	0399	0.2398441399	0.250136399	0400	0.2398122400	0.250078400	0401	0.239663401	0.2498558401	0402	0.239369402	0.2498231402	0403	0.239294403	0.249648403	0.404	0.239135404	0.2495404	0.24405	0.238832405	0.2494405	0.24406	0.238644406	0.2492406	0.24407	0.238581407	0.249407	0.241408	0.238357408	0.249408	0.241409	0.23828409	0.2488409	0.240410	0.23822410	0.24410	0.24073411	0.2380411	0.248411	0.24056412	0.2376412	0.248412	0.24021413	0.2374413	0.248413	0.23998414	0.2369414	0.248414	0.23977415	0.2369415	0.248415	0.2397416	0.23678416	0.248416	0.2396417	0.23665417	0.247417	0.239418	0.236526418	0.247418	0.2419	0.23645371419	0.247419	0.420	0.236453711420	0.247420	0421	0.2364135891421	0.247421	422	0.2362868205	422	0.247422423	0.2361141069	0423	0.24642424	0.2360406571	0.424	0.2464425	0.2357053234	0.425	0.24644426	0.2354161325	0.426	0.24624427	0.2352414056	0.427	0.24614428	0.2352033811	0.428	0.24604429	0.2351423634	0.429	0.24584430	0.235013251	0.430	0.24571431	0.234709682	0.431	0.24548432	0.2346597938	0.432	0.24540433	0.2342695743	0.433	0.24524434	0.2340163563	0434	0.245043435	0.2338961652	0435	0.244435436	0.2337821847436	0.2443436	437	0.2334217602437	0.244437	0438	0.233316634438	0.2441438	439	0.2332306494439	0.2440439	440	0.2329843921440	0.2439440	441	0.2329367042441	0.2433441	442	0.2322063714442	0.2430442	443	0.2321742548443	0.2429443	444	0.232033115444	0.24285444	445	0.231567480445	0.24244445	446	0.231239000446	0.24215446	447	0.231109944447	0.24196447	448	0.230976562448	0.2417448	0449	0.230909565449	0.241449	0.450	0.230690629450	0.24450	0.2451	0.230564561451	0.2451	0.2452	0.2305361339452	0.452	0.23453	0.2301045382453	0453	0.232454	0.2297826808454454	0.23259455	0.229631967745455	0.232455456	0.229549179345456	0.232256457	0.229524800445457	0.231987458	0.229362735145458	0.231848459	0.229161908545459	0.231481460	0.229062880146460	0.231313461	0.228885173646461	0.231222462	0.228792364146462	0.230964463	0.228585243146463	0.230888464	0.228466550846464	0.230779465	0.228269431246465	0.230680466	0.228137449946466	0.230623467	0.228073952146467	0.230490468	0.227882146	46468	0.23026469	0.2277747993	46469	0.23008470	0.2272361728	47470	0.22998471	0.2270668287471471	0.22967472	0.2269957162472472	0.22944473	0.2267432539473473	0.22927474	0.2265169389474474	0.22915475	0.2263823268475475	0.22908476	0.2263078363476476	0.22900477	0.226232071	477477	0.2286478	0.226174709	0478478	0.228479	0.2259914137	0479479	0.228480	0.2259914081	0480480	0.228481	0.2259036369	0481481	0.227482	0.2258198606	0482482	0.227483	0.2256363362	048483	0.2275484	0.2255105213	048484	0.2274485	0.2252904471	048485	0.2273486	0.2252681736	048486	0.2272487	0.2248038806	0487	0.22720488	0.224753086	0.9488	0.2270489	0.2246490161	0.9489	0.2269490	0.224515621	0.91490	0.226491	0.2243727944	0.91491	0.226492	0.2242145742	0.91492	0.22493	0.2241891325	0.916493	0.2494	0.223867456	0.91689494	0495	0.2235981633	0.916893495	496	0.2233822172	0.9155313496	497	0.2231190042	0.9155313497	498	0.2229565637	0.9155313498	499	0.2229014943	0.915531499	0500	0.2228484559	0.916893500	501	0.2227287952	0.9155315501	502	0.222507955	0.9168937502503	0.2223877325	0.9168937350504	0.2222514541	0.91553133550505	0.2221867877	0.9168937355506	0.2220111126	0.9168937335507	0.2217633972	0.916893733
508	0.2215107068	0.916893733
509	0.2213606246	0.916893733
510	0.2212716482	0.916893733
511	0.2211139064	0.916893733
512	0.2209847672	0.916893733
513	0.2207099849	0.916893733
514	0.2203385158	0.916893733
515	0.2202804558	0.9155313351
516	0.220093165	0.9155313351
517	0.2199644266	0.9155313351
518	0.2198564656	0.9155313351
519	0.219733478	0.9155313351
520	0.2195289661	0.91553133515521	0.2193602281	0.91553133552522	0.2193328804	0.91553133522523	0.2193324814	0.9155313523	524	0.219242115	0.9155313524	525	0.2191644358	0.915531525	0526	0.2190397392	0.91553526	0.527	0.2188853398	0.9155527	0.2528	0.2187970963	0.9155528	0.2529	0.2187527849	0.9155529	0.2530	0.218517578	0.91553530	0.531	0.2183612779	0.9168531	0.532	0.2177675399	0.91825532	0.533	0.2176429451	0.9182533	0.2534	0.2176196543	0.918534	0.21535	0.2175187223	0.91535	0.219536	0.2173604934	0.536	0.21939537	0.2172482957	0537	0.219307538	0.2171616365	0538	0.219259539	0.2169795735	0539	0.21915540	0.2168435098	0.540	0.2190541	0.2168292805	0.9541	0.218542	0.2167559648	0.9542	0.218543	0.2166378879	0.91543	0.218544	0.216562348	0.918544	0.21545	0.2164465895	0.916545	0.2546	0.2161804687	0.9168546	0.547	0.216038629	0.916893547	548	0.2159082315	0.9168937548549	0.2157523174	0.9168937354550	0.2157174569	0.9168937335551	0.2155104226	0.91825613085552	0.2152399649	0.916893733
553	0.2150286032	0.9223433243
554	0.214893536	0.9223433243
555	0.2148387678	0.9223433243
556	0.2147935396	0.9223433243
557	0.2147593784	0.9223433243
558	0.214526218	0.9209809264
559	0.2143820192	0.9209809264
560	0.2139838641	0.9223433243
561	0.2139171082	0.9223433243
562	0.213772475	0.9223433243
563	0.213390721	0.9223433243
564	0.2133038506	0.9223433243
565	0.2132450586	0.9223433243
566	0.2130989231	0.9223433243
567	0.2129535567	0.9223433243
568	0.2127087716	0.9237057221
569	0.2122222454	0.92370572215570	0.2121677348	0.92370572215571	0.2119976072	0.92370572215572	0.211856839	0.9237057221
573	0.2115135034	0.9237057221
574	0.211481062	0.9237057221
575	0.2112613345	0.9250681199
576	0.2111408853	0.9250681199
577	0.2107914203	0.9250681199
578	0.2106066065	0.9250681199
579	0.2105183289	0.9250681199
580	0.210452914	0.9250681199
581	0.2103489016	0.9250681199
582	0.2101000114	0.9250681199
583	0.2098196064	0.9250681199
584	0.2097544436	0.9250681199
585	0.2097493906	0.9250681199
586	0.2097445092	0.9250681199
587	0.2094396482	0.9250681199
588	0.2093118363	0.9250681199
589	0.2092419691	0.9250681199
590	0.2089784163	0.9264305177
591	0.2088804436	0.9264305177
592	0.2086771698	0.9264305177
593	0.208676097	0.9264305177
594	0.2086760951	0.9264305177
595	0.2086193253	0.9264305177
596	0.2083074967	0.9264305177
597	0.2082693	0.9264305177
598	0.2082294219	0.9264305177
599	0.2081732664	0.9264305177
600	0.2075521476	0.9264305177
601	0.2074672468	0.9264305177
602	0.2073296339	0.9264305177
603	0.2072338152	0.9264305177
604	0.2070534999	0.9264305177
605	0.2069309473	0.9264305177
606	0.2069168042	0.9264305177
607	0.2066344648	0.9264305177
608	0.2063285766	0.9264305177
609	0.206250082	0.9264305177
610	0.2061929961	0.92643051776611	0.2061276353	0.92643051761612	0.2061256151	0.92643051761613	0.2058445672	0.92643051761614	0.2055862446	0.92643051761615	0.2055203753	0.92643051761616	0.2054079827	0.92643051761617	0.2052855261	0.92643051761618	0.2049034856	0.92643051761619	0.2047405349	0.92643051761620	0.2043923738	0.92643051762621	0.2043512886	0.92643051762622	0.2043008394	0.92643051762623	0.2042879887	0.92643051762624	0.2038371572	0.92643051624625	0.2037197782	0.92643051625626	0.2035929385	0.92643051626627	0.2035100662	0.92643051627628	0.2033602443	0.92643051628629	0.2030056916	0.92779291629630	0.2027649973	0.92779291630631	0.2025450125	0.92779291631632	0.2022708193	0.92779291632633	0.2022129385	0.92779291633634	0.2021290515	0.9277929634	635	0.2019991822	0.9277929635	636	0.2019561452	0.9277929636	637	0.201956136	0.92779291637638	0.2017467235	0.92779291638639	0.2017448447	0.92779291639640	0.2017448435	0.92779291640641	0.2016995155	0.92779291641642	0.2016991311	0.92779291642643	0.201547473	0.92779291643644	0.2013523716	0.92779291644645	0.2012659445	0.92779291645646	0.2012158914	0.92779291646647	0.2010373048	0.92779291647648	0.2008892047	0.92779291648649	0.2007688585	0.92779291649650	0.200570665	0.92779291565651	0.2005573586	0.92779291565652	0.2005358829	0.92779291565653	0.2003582525	0.92779291565654	0.2002569126	0.92779291565655	0.2002178297	0.92779291565656	0.2000621546	0.92915531365657	0.1997593254	0.92915531365658	0.1995335763	0.93051771165659	0.1993983096	0.93051771165660	0.1992012554	0.93051771166661	0.1990388688	0.93051771166662	0.1988868527	0.93051771166663	0.1988293548	0.93051771166664	0.198664918	0.93051771126665	0.198541761	0.9305177112
666	0.1985309369	0.93051771126667	0.198530927	0.9305177112
668	0.1983776436	0.9305177112
669	0.1983076574	0.9305177112
670	0.1982031202	0.9305177112
671	0.1981181544	0.9305177112
672	0.1979872082	0.9305177112
673	0.1978136862	0.93051771126674	0.1977362977	0.93051771126675	0.1976552171	0.93051771126676	0.1975092581	0.93051771126677	0.1972870004	0.93051771126678	0.197122623	0.9305177112
679	0.1970363065	0.9305177112
680	0.196972449	0.9305177112
681	0.1969724425	0.9305177112
682	0.1969724376	0.9305177112
683	0.1967867667	0.9305177112
684	0.1967762324	0.9305177112
685	0.1964856433	0.9305177112
686	0.1964671609	0.9305177112
687	0.1962221873	0.9305177112
688	0.1961717171	0.93051771126689	0.1960908202	0.93051771126690	0.1959617441	0.93051771126691	0.1959508574	0.93051771126692	0.195918149	0.9305177112
693	0.1958556501	0.93051771126694	0.1956037917	0.93051771694695	0.1953339305	0.9305177695	696	0.1951586068	0.9305177696	697	0.1951275893	0.9305177697	698	0.195107323	0.93051771698699	0.1950343201	0.93051771699700	0.1949003353	0.93051771700701	0.1948968565	0.93051771701702	0.1947798076	0.93051771702703	0.194657681	0.93051771170704	0.1946224362	0.93051771170705	0.194433332	0.93051771127706	0.1942990419	0.93051771127707	0.1941529611	0.93051771127708	0.1939227138	0.93051771127709	0.1937296284	0.93051771127710	0.1936942627	0.93051771127711	0.1936265718	0.93051771127712	0.1933317366	0.93051771127713	0.1932553716	0.93051771127714	0.1931314206	0.93051771127715	0.1930707141	0.931880109
716	0.1929775135	0.931880109
717	0.1928652002	0.931880109
718	0.1928233602	0.931880109
719	0.1924900965	0.931880109
720	0.1922544365	0.9305177112
721	0.1922340122	0.9305177112
722	0.1919427128	0.9305177112
723	0.1919427094	0.9305177112
724	0.1918990727	0.9305177112
725	0.1918725978	0.9305177112
726	0.1917411759	0.9305177112
727	0.1915094081	0.9305177112
728	0.1914160697	0.9305177112
729	0.1912813956	0.9305177112
730	0.191123942	0.9305177112
731	0.1909207665	0.9305177112
732	0.1908332209	0.9305177112
733	0.1906733326	0.9291553134
734	0.1906593516	0.9291553134
735	0.1906119119	0.9291553134
736	0.1904466292	0.9291553134
737	0.1903143389	0.9291553134
738	0.1902639506	0.9291553134
739	0.1900319987	0.9305177112
740	0.1896379196	0.9305177112
741	0.1895244086	0.931880109
742	0.1895086634	0.9305177112
743	0.1894267491	0.9305177112
744	0.1891147924	0.931880109
745	0.1890591277	0.9305177112
746	0.1889424762	0.931880109
747	0.1888389235	0.931880109
748	0.1887375677	0.931880109
749	0.1885651224	0.931880109
750	0.1885651117	0.931880109
751	0.1885493801	0.931880109
752	0.1885294581	0.931880109
753	0.1884219407	0.931880109
754	0.1882271715	0.931880109
755	0.1881985532	0.931880109
756	0.1880961938	0.931880109
757	0.1879539066	0.931880109
758	0.1877841004	0.931880109
759	0.1877003376	0.931880109
760	0.187631114	0.931880109
761	0.1875014736	0.931880109
762	0.1873708571	0.931880109
763	0.1873254797	0.931880109
764	0.1872629355	0.931880109
765	0.1871340702	0.931880109
766	0.1869648487	0.931880109
767	0.1867182099	0.9332425068
768	0.1866912047	0.9332425068
769	0.1865568122	0.9332425068
770	0.1864685437	0.9332425068
771	0.1863422102	0.9332425068
772	0.1862787502	0.9332425068
773	0.1861375202	0.9332425068
774	0.1859929956	0.9346049046
775	0.1859761156	0.9346049046
776	0.1858410521	0.9346049046
777	0.1857413476	0.9346049046
778	0.185653651	0.9346049046
779	0.1855389805	0.9346049046
780	0.185470401	0.9359673025
781	0.1851092724	0.9359673025
782	0.1850679949	0.9359673025
783	0.1850243171	0.9359673025
784	0.1849129385	0.9359673025
785	0.1847543537	0.9359673025
786	0.1847543532	0.9359673025
787	0.1845670588	0.9359673025
788	0.1844991531	0.9359673025
789	0.184460371	0.9359673025
790	0.1841853639	0.9359673025
791	0.1839886813	0.9359673025
792	0.1838401803	0.9359673025
793	0.1837831735	0.9359673025
794	0.1836687647	0.9373297003
795	0.1833342382	0.9373297003
796	0.1833283112	0.9373297003
797	0.183201941	0.9359673025
798	0.1831555235	0.9359673025
799	0.1830409323	0.9359673025
800	0.1828846911	0.9359673025
801	0.1828315106	0.9359673025
802	0.1825874093	0.9359673025
803	0.1823562314	0.9359673025
804	0.1822398897	0.9359673025
805	0.1821261641	0.9359673025
806	0.1819403192	0.9359673025
807	0.1818800544	0.9346049046
808	0.1818153403	0.9346049046
809	0.1817800575	0.9346049046
810	0.1817515053	0.9346049046
811	0.1817096468	0.9359673025
812	0.1815862206	0.9359673025
813	0.1815485996	0.9359673025
814	0.1814631915	0.9359673025
815	0.1812845651	0.9346049046
816	0.1811872924	0.9346049046
817	0.1810693345	0.9346049046
818	0.1810187964	0.9346049046
819	0.1808349309	0.9346049046
820	0.1806815132	0.9346049046
821	0.1806687764	0.9346049046
822	0.1804574624	0.9359673025
823	0.1802865099	0.93460490468824	0.1801251754	0.93460490482825	0.1799367985	0.93596730825826	0.1798961599	0.93596730826827	0.1798877382	0.93596730827828	0.1796686013	0.93596730828829	0.1795947158	0.93596730829830	0.1795321591	0.93596730830831	0.1794392057	0.93596730831832	0.1793407348	0.93596730832833	0.1790848905	0.93596730833834	0.179010471	0.93596730283835	0.1787517368	0.93596730283836	0.178690418	0.93596730258837	0.1785443291	0.93596730258838	0.17836728	0.9359673025
839	0.178345281	0.9359673025
840	0.1782181605	0.9359673025
841	0.1781090776	0.9359673025
842	0.178041652	0.9359673025
843	0.1780078147	0.9359673025
844	0.1779737236	0.9359673025
845	0.1778932558	0.9359673025
846	0.1778682047	0.9359673025
847	0.177792521	0.9359673025
848	0.1777341213	0.9373297003
849	0.1775913459	0.9373297003
850	0.1775139933	0.9373297003
851	0.177447911	0.9373297003
852	0.1773543821	0.9373297003
853	0.1772025405	0.9386920981
854	0.1770783221	0.9386920981
855	0.1768952777	0.9386920981
856	0.1768387386	0.9400544959
857	0.1768336212	0.9400544959
858	0.176699886	0.9414168937
859	0.1766689031	0.9400544959
860	0.1766158975	0.9400544959
861	0.1765411201	0.9400544959
862	0.176520154	0.9414168937
863	0.176467855	0.9414168937
864	0.1762177566	0.9414168937
865	0.176175826	0.9414168937
866	0.1761049898	0.9414168937
867	0.1760572018	0.9414168937
868	0.1760572016	0.9414168937
869	0.176057198	0.9414168937
870	0.1759803053	0.9400544959
871	0.1759657915	0.9414168937
872	0.1758542922	0.9400544959
873	0.1757548875	0.9400544959
874	0.1756540613	0.9400544959
875	0.1755278194	0.9400544959
876	0.1754419958	0.9400544959
877	0.1753327264	0.9400544959
878	0.1752410479	0.9400544959
879	0.1750836715	0.9400544959
880	0.1749772547	0.9400544959
881	0.1748807169	0.9414168937
882	0.1747868842	0.9414168937
883	0.1746692311	0.9414168937
884	0.1746376214	0.9414168937
885	0.1745990057	0.9414168937
886	0.1745801366	0.9414168937
887	0.1744221968	0.9427792916
888	0.1742994181	0.9414168937
889	0.174153856	0.9427792916
890	0.1741137241	0.9427792916
891	0.1740378142	0.9427792916
892	0.1739265322	0.9427792916
893	0.1739191523	0.9427792916
894	0.1738220519	0.9414168937
895	0.1737216795	0.9427792916
896	0.1735901392	0.9427792916
897	0.1735457857	0.9427792916
